identifier,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,zero_crossing_rate,spectral_rolloff,spectral_centroid,rms
vK2bLRNzllXNeyOMudnNSL5cfpG2,-347.74695,42.50066,-3.5417047,2.888123,-10.078894,3.8235013,0.76502085,-1.245408,0.3247775,-3.6915274,1.6005787,2.215981,6.3966956,0.56648105,0.46186417,0.44209805,0.47033927,0.48677236,0.50651485,0.5105607,0.47690004,0.5054234,0.5209201,0.51454926,0.56390417,15.911417460735969,9.4335593762333,13.268408836066376,14.572392713732901,19.415505520866695,16.327875920368832,18.851255178849527,0.06258802816901408,7916.857394366197,3760.720739779064,0.05330279
bjA2KpSxneNskrLBeqi4bqoTDQl2,-438.08948,60.08207,-12.553159,3.8096256,1.3445574,-8.581845,-1.1120491,-12.591388,-12.022196,-3.4001818,-10.918039,-3.5844471,5.6646175,0.3765535,0.40982512,0.37293693,0.3511785,0.4446959,0.44324163,0.40741828,0.47477195,0.469054,0.47801796,0.47211373,0.39344627,17.67290678658996,10.738251770156493,14.0142348131859,16.93612393073889,21.03653239628441,21.945249520322093,28.86138971129363,0.08091672867063492,7507.2172619047615,3863.1675364158355,0.040344395
FSzobvJqOXf0rI6X05cHqOiU9Mu2,-328.00018,131.56352,-77.8271,-26.289635,4.1841187,-23.064356,-5.5739703,-3.407247,-7.2624125,-10.535873,-20.870485,-2.1706622,2.0318959,0.31652007,0.37526548,0.41482115,0.43043604,0.40032533,0.47964433,0.5496734,0.5389083,0.5089308,0.3742948,0.2518641,0.27319574,19.10026608682185,10.893794087508512,12.719630544420893,14.494568958453685,18.49317518350782,23.474133979567217,31.78812653676186,0.08127689932634731,3957.2885479041915,2490.7099566841052,0.119323544
EqDWckxbsETyHUeBLQ8jLtxlhir2,-358.07828,105.7531,4.550392,-1.6624231,-14.764269,4.6725154,-10.619116,-18.483532,-17.696579,-1.5021248,-5.6874866,-9.343211,-2.8162558,0.55705875,0.50717014,0.42575502,0.38624,0.39354342,0.44604272,0.47578865,0.42789462,0.43838593,0.5059532,0.51123834,0.51293886,15.337155544709644,10.387601418643257,12.653531077810385,14.692492728428165,17.98076511754552,17.438661524802455,26.790634427600672,0.089925007091528,7148.111289712557,3579.2427748252608,0.06066224
FGRDO4IBbAejR0WHD5YbkXTCasg2,-339.97177,66.43464,9.701495,12.129751,9.302468,1.9334183,1.0882393,7.936245,-1.5482695,-2.8124197,-17.525616,-0.91403025,-1.7421545,0.5145135,0.47732928,0.49715582,0.4498937,0.3634914,0.3551672,0.39498517,0.44300607,0.4139773,0.4294442,0.4962523,0.53230363,18.306386016208318,10.752994326907494,14.085092942342335,15.475654959286267,17.928474410578737,19.03864431003966,29.16852703268247,0.11484162703804347,12512.136840820312,5203.615389764281,0.055622205
htQzROl26OWQpIYFDzv11F79PLR2,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pW9mCAeWYiMoM7wW7riLvNRbYDO2,-338.21262,80.63441,-45.295033,4.175539,-7.5528274,-24.289234,6.59565,-10.435157,-14.116757,-7.059596,-22.907715,-4.4450803,9.721311,0.34207785,0.4425351,0.4749016,0.53545034,0.53040725,0.4114815,0.29910108,0.2790804,0.2720634,0.27403408,0.25331977,0.23026873,14.193327845222944,10.579344379488155,16.21643348377402,19.041612188569342,20.074547056730637,17.12842642011415,35.10838872061702,0.09322287819602272,5480.513139204545,3188.1499335782178,0.10225086
Eu11s84cuBTiPXTAtVf9mj3GkqA2,-514.6617,56.87375,-36.677986,-5.956159,-9.394791,-9.732954,15.050613,-4.1962533,-8.8852415,3.2816765,-2.7819712,5.660843,2.8387425,0.44466498,0.39402705,0.349139,0.37062243,0.42045194,0.508863,0.6361666,0.5617227,0.5955053,0.52233094,0.45873493,0.44774655,14.95656014295809,8.399846641394923,11.299532865504045,15.400843077424677,19.419818058668923,17.28255084439864,26.93164344504994,0.07286028560729847,7512.254901960784,3562.3455724443525,0.022509057
L7S8iIPKgiO6QWLC3mGkROCMa0s1,-354.2681,123.33365,-24.616884,8.892975,-5.3953466,-23.435947,12.571096,-2.726603,-12.033296,1.8998653,-13.08873,-9.535098,1.5798492,0.37641966,0.4211383,0.4921097,0.60103947,0.52872807,0.3954913,0.36774573,0.39508536,0.423091,0.42584425,0.38583168,0.36764818,22.28448233565548,9.941622525641689,13.42515470007411,18.2983313319266,23.787561275304473,23.36592855822559,34.046720435838274,0.06763147424768519,4559.157986111111,2372.7173610898276,0.0759401
eP8gEM0KcBU6S5JpMdycX74KP3p2,-304.62592,125.6858,10.502429,15.823672,6.4142785,15.293268,11.111364,3.627197,2.4778848,2.2202866,-4.8254256,-6.2174225,-1.8285304,0.543081,0.60448825,0.5875111,0.5212535,0.4736422,0.47962955,0.48587173,0.48536083,0.5454363,0.59531516,0.60435,0.5490523,11.956296567086415,10.882677799006396,12.213373191579983,14.628414611679466,17.280399966541065,19.758451998841075,27.763606120600926,0.03517196931589537,4116.087147887324,2016.8468178063526,0.07062115
UiUUhL0PMjWVA6W2dKte1DCE6wG2,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,-444.61884,63.047817,-25.98376,13.71561,-12.361208,-18.059912,18.52047,-5.818244,-13.95399,-5.5602174,-15.614173,0.6371783,2.4186585,0.32413754,0.3013886,0.29202008,0.31591153,0.3696395,0.43683854,0.4844317,0.4935696,0.4096359,0.36540604,0.3534502,0.35272825,13.248958097964334,9.95631505344581,12.555354794865893,14.007908412067675,17.569378983959012,16.58953268772261,27.91748852280216,0.0819605983721865,6038.1707194533765,3353.040758266365,0.042155482
QQbzKidDxHQ0eZFEL4uG68s1lc02,-440.26425,65.02892,-3.8506713,7.476206,5.2316813,-12.918362,-1.9990301,0.38529834,-5.451687,1.3738292,-2.7898939,-11.144697,-6.7510633,0.48225078,0.4660584,0.48902848,0.5082231,0.48785073,0.42196405,0.41334823,0.4104081,0.44900078,0.48101708,0.48800063,0.47282937,18.47111448255431,9.010477778984253,12.356228426236521,16.30177976833697,17.807587683131878,18.54164006779278,22.24065341560487,0.050968828494385346,7034.380540780142,3434.081105043801,0.03259411
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,-379.5466,92.315956,-60.095192,5.156363,7.197816,-15.143126,12.804021,-4.1913614,-12.1925745,-2.1237159,-5.3329453,7.3283176,-2.864461,0.47483155,0.3168502,0.27077854,0.23349972,0.23624268,0.23994839,0.27524275,0.41673726,0.5608844,0.5811048,0.6214581,0.6101597,19.905103635235154,8.877920464190705,10.117617152039124,12.758780262588212,16.436217688743557,17.87642807337903,29.416532935881428,0.08443496023069964,4861.401161037395,2811.1655044783806,0.06294889
cfZUmZvsecYVKw5eSi4qIhfJVpI3,-333.82214,110.8355,-47.97851,-2.609559,9.505727,-15.895662,4.167061,-6.1501555,-15.527734,-3.6200893,-14.837579,-9.735157,3.7448874,0.39010805,0.3930177,0.33190796,0.38485852,0.48925656,0.48199844,0.46528205,0.4289483,0.40335825,0.42420676,0.40541437,0.3767709,20.414839736689462,9.679063722130334,15.221518075430785,14.343360879323495,16.522082685946177,16.923125438639904,31.3463209103523,0.05709060968137255,4052.0137032085563,2250.234870259881,0.08237777
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,-404.16425,81.0559,-22.284678,-8.816732,5.531027,-6.5328703,3.280938,2.080471,-11.463803,-10.126638,-5.218881,-1.9807222,-2.0635724,0.50694424,0.46728563,0.4386548,0.4185753,0.3723032,0.38469753,0.5576676,0.6460432,0.51149905,0.4396896,0.4864224,0.5267976,16.956664821056954,10.32017406960083,12.321506212090753,13.736812984533847,19.34171802063832,21.494298357197838,21.526364330285073,0.050624439050261094,5392.216057441253,2891.2380421261178,0.06254217
tiKv850hJFTmpCAvfJOmOOqkeUs1,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LqGeCxef4fN4IPanKEbWkO1fAwJ3,-411.52783,110.73269,-3.0719292,-20.065357,-0.78753906,4.7474794,0.8097134,-8.8738575,-6.2646747,-2.6305063,-10.747692,-7.4314203,-1.4191691,0.32171315,0.35727692,0.33412066,0.3580797,0.42479816,0.44184914,0.45301974,0.45204225,0.47135502,0.46540305,0.3950126,0.30627465,19.160280283718752,10.656124837156069,14.743285427741199,17.596651935748685,21.925560118389082,19.66963597875218,26.07158818862017,0.04120761460302457,2833.5450141776937,1710.9990150179212,0.048317466
XUsJp0qysAPtu3vBI0UCiHRJhZ22,-428.79526,90.38309,-35.44406,6.3099804,7.5883403,-20.97732,-1.4858656,-7.2269816,-10.539059,5.0276256,-6.633789,-5.7387013,5.351251,0.33939704,0.41190547,0.49834982,0.53933644,0.54939175,0.50289917,0.49885082,0.5652869,0.51869696,0.41818526,0.37271395,0.33278435,16.765671889187388,9.28561659288383,12.401326148251778,15.251061165445355,17.898671631012647,16.07909506011097,28.88420531279848,0.07337618568087319,5407.386954261954,3009.49787311651,0.047739364
eZ9KEu3fmEgvxINqgcbkBXoEsv53,-367.8569,94.212395,-37.004265,-17.602903,6.127815,-5.34933,-0.9344486,-5.868144,-10.95561,-8.680734,-12.911325,-6.9283485,-3.79062,0.28496802,0.25394195,0.30577615,0.32834837,0.30627558,0.35003656,0.4248221,0.47740495,0.5071759,0.4907202,0.42862135,0.3431961,18.002945341287703,11.015493860640552,14.321329642742686,17.21914163087836,19.47476339576374,21.080264938248675,27.905163102835907,0.05794307656957014,5417.6682692307695,2861.810923866612,0.062395107
iq8oYXczSjPuJoVS7DBpkGNMC2p1,-250.81227,212.00894,-5.288035,-0.8084793,1.7785443,-17.172255,8.456209,-1.9786575,-12.621366,-0.8550734,-15.246946,-14.082294,3.0421917,0.4625964,0.484556,0.526814,0.58673716,0.63806665,0.62323785,0.5575055,0.51260775,0.4594608,0.4206831,0.39842275,0.42153078,19.080562279054373,9.750775601942184,12.167163626493968,15.455074604194783,19.260355801850142,18.91793078366311,33.99183830652836,0.038445895392538974,2316.815144766147,1279.892024727224,0.20342202
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,-433.8243,73.04412,-18.998072,-1.4475882,-7.5966983,3.7295065,1.6202931,-2.7957942,-13.452204,-8.776345,-3.6898155,-7.0828314,-9.327894,0.40623146,0.43224624,0.43526956,0.3809304,0.36050445,0.40399268,0.4609296,0.46245685,0.44761518,0.46641585,0.48115587,0.43850383,17.989085582099513,9.042114887071325,12.683683471669136,16.996081610529096,18.095587331041123,20.81480198679622,24.2307556496334,0.06695197610294118,5446.72420726103,2940.6118070518455,0.04091102
nMIOAh7qRFf3pqbchclOLKbPDOm1,-405.33817,78.282425,-29.40764,9.163052,7.3813047,-9.205519,12.981786,-2.8005269,-14.173037,-2.3734276,-8.661043,-3.4331498,1.4679942,0.3259343,0.28262338,0.31474113,0.37397975,0.40489054,0.3996733,0.38204005,0.37982717,0.45977724,0.51584387,0.47576302,0.4284514,17.59713180850456,10.58218996885891,12.103260383815911,16.787880620086188,20.503176160086138,20.65200894191094,30.96345375711188,0.08453851744186046,5459.520348837209,2965.2960195734527,0.04927266
Pr79fov0a5TW5KPo0XACvIqMtO72,-443.2572,55.4558,1.181438,19.143665,2.378514,7.803623,-5.1389327,-7.4605513,-1.7008725,-11.182448,-3.4024942,-8.790225,-6.3755174,0.49727798,0.52150613,0.5653434,0.5581235,0.5424668,0.52922815,0.5631971,0.55967695,0.47516227,0.42116293,0.46699825,0.49770617,23.55115804463298,9.108185622244136,12.39556822074646,13.655891204057573,17.01342456588353,18.941618335149943,29.340507505822135,0.10714066590314136,6355.734620418848,3364.38575358446,0.022774866
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,-314.49957,109.110535,-51.451218,2.960352,0.19411233,-24.528837,8.477953,-4.203931,-16.324383,-10.425581,-16.58231,3.94705,4.7290955,0.34479204,0.30219427,0.31125084,0.35324425,0.38891533,0.49786317,0.5227084,0.47481173,0.41979635,0.35129276,0.36491314,0.3805907,13.740648116382497,9.486428950106907,10.851354427432394,14.331416722116233,16.905257568009564,18.2029873983356,33.84110479173604,0.06992158435639881,4890.973772321428,2670.7590668555567,0.1490273
CrlV0ddIqdbtxNnkIhtPS5dvoX42,-449.9175,70.29501,-26.910652,21.157328,-2.6441844,-18.016483,12.4936495,-8.866116,-11.925542,0.6204522,-6.1465616,5.128094,-1.2243171,0.327647,0.35254985,0.35652837,0.3557381,0.39611408,0.3573832,0.32301798,0.25910243,0.25742903,0.29446375,0.28384602,0.3271339,16.014695818482757,9.030588543082894,12.183790371323148,12.886895341639683,18.856403851284476,15.875900519864299,28.449364594009136,0.07849928799937578,5565.630852059925,3113.8058057198787,0.043055758
KL32QXSSnLZlRRT2B6rQQQKgpx12,-419.17432,96.36612,-25.276562,5.123834,-9.63717,-6.5522075,-12.69889,-4.3470054,-8.40755,-0.41324556,0.21171771,3.418593,0.81145394,0.3881431,0.39423618,0.4320752,0.5481589,0.6003363,0.55092144,0.42390966,0.47830397,0.48631686,0.5812859,0.55632246,0.41276592,17.130995783583078,8.630509571305774,12.155884377405936,14.88822510555217,17.27999005240858,18.298353545181275,23.721510081223357,0.08308041067146282,7785.071942446043,3832.77500541664,0.029206427
tOlOwYDEHCRx1QegeMOPaydVcgv1,-408.81314,65.52381,6.3634963,5.4428205,0.47538087,3.381516,-1.755535,0.09648307,-5.6335063,-7.2686663,-4.398067,-1.2797043,-4.157007,0.5575908,0.48676535,0.48305833,0.56880796,0.6195232,0.5064638,0.40357527,0.4034182,0.47521204,0.54476255,0.5334128,0.56028616,12.869133238655017,9.037214533027171,11.732661173152703,15.022019301717412,15.23644016660624,19.22052531616094,21.835745605564593,0.05235135957792208,4525.775923295455,2477.223363169242,0.06446185
zvXkuEaPb0OEgG4EHx59NqdmamR2,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0Rlzhiz6bybk77wdLjxwy7yLDhg1,-454.2527,58.650757,-12.467456,15.924095,-0.11726596,-4.258,10.919525,-2.1800885,-1.7659786,-0.88387287,-6.3715053,1.3463475,-0.5853039,0.4893747,0.5027064,0.5240433,0.574776,0.56795645,0.5645037,0.517852,0.48942232,0.55131155,0.56808764,0.5770716,0.5071228,15.492415618768643,10.0443916226817,12.350963654408009,14.711350325965272,18.42139751575586,17.45364791019985,23.480477981407383,0.06617265866126543,10749.927662037036,4414.701843858793,0.037373282
l3umDXECeOUTZH8pFN19c2WM4m43,-376.77805,83.61811,-25.916788,15.871537,7.4617615,-17.829865,-0.09965374,-8.601031,-9.979959,-3.8672328,-12.291727,0.3588532,2.0059402,0.5007279,0.4678143,0.37893513,0.36954606,0.37211773,0.3655322,0.3547351,0.39670375,0.522822,0.55135494,0.50941426,0.48388922,16.814039883128327,8.193717644638568,11.61916549751417,13.53003048854493,16.43934862862237,18.02449685998047,31.596907175439473,0.06317959989281002,5621.691540237467,3042.4327722926014,0.08745745
XVjp63ocWZRqJRdxCtklUfmdklm2,-365.67474,109.6504,-31.592688,-3.8849723,8.997411,-11.855657,2.0063345,0.82090497,-7.009011,-5.11594,-8.876006,-1.4069483,1.531063,0.5154855,0.49435595,0.5148297,0.55944955,0.5685049,0.5635271,0.56225055,0.58988136,0.60136425,0.62875015,0.5585677,0.51768273,17.618828579466808,7.996939203158761,10.779781906456371,13.244130814170262,17.042425535150144,19.521428002430014,28.59928122513392,0.0629776856351718,4201.288426763111,2382.614947804928,0.07307207
JmN2KXZoEThB2e8KFMbM7L4fOwy1,-369.06342,98.299576,-43.52949,-8.88383,10.536782,-5.437545,5.248115,-4.8929853,-15.080965,-13.006061,-16.910725,-5.6150455,-0.37057468,0.4061419,0.36717862,0.36318004,0.41776177,0.45063075,0.38452902,0.39983144,0.4291409,0.40974328,0.38568634,0.43322363,0.45075437,16.164508371779576,11.02312322796782,13.98822373862431,17.31637460185912,18.555629116593256,18.84995232571453,27.208609083291496,0.051608027783795495,5658.957972270364,2838.9857508151003,0.10960343
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2,-415.52744,61.185642,5.8463683,-7.888313,-0.41915107,-3.0663176,-10.801003,-13.711945,-12.388076,-10.467835,-8.080229,-5.084495,-4.596981,0.44064313,0.34231815,0.2690152,0.2431831,0.27242044,0.2951165,0.28356034,0.2620492,0.2631719,0.3547711,0.57296586,0.5312522,15.2496916256067,11.785661389573741,16.393233036910964,17.25863411689096,21.816999213788673,18.398268762483884,19.99098215033718,0.031059337797619047,5470.357142857143,2656.2246695345434,0.06988602
1ctsxp37dWNbCbizTioZzpAWqJx2,-311.98688,68.999146,-31.86832,9.100968,-22.195452,16.7077,2.1674993,-14.56778,-25.053051,-0.554269,0.3822098,-1.0318662,-1.9931976,0.45254913,0.46819642,0.4044427,0.32694378,0.32319507,0.41614342,0.4633458,0.5085328,0.52587414,0.5153679,0.44920734,0.4126517,20.70970370343431,9.559855284564609,13.056657640327584,16.30956909845779,20.000634885173408,18.10720356003438,33.60637059423771,0.11304877479735495,7078.360724856016,3807.5534012047647,0.07591422
2XgDqzQkqLX9SbmSHfbqdRxSmRD2,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kIHldMnyvmXvpLq0LjWr7ecclSj2,-329.3645,89.9197,-2.6525729,-1.7970657,-14.805305,-5.655912,-6.9969535,-8.025014,-1.0795686,-12.275977,-12.811275,-5.6786027,-5.2657228,0.5807548,0.5420144,0.5775178,0.5686736,0.54444456,0.5199768,0.53240037,0.5404102,0.584309,0.5661949,0.64517283,0.6400992,25.009850604968623,7.984056796990116,10.4233334593385,12.946995754874443,15.60741822122031,18.153476994376298,32.7022365549336,0.07288560551844783,4952.468988549618,2602.9310820692717,0.054683007
